track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,25,532336353,116,84,114,18,348,96,D,Major,54,25,74,14,0,9,11,2022-10-12
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,34,538115192,47,77,53,10,8,123,G#,Major,71,58,70,30,0,32,19,2022-11-30
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314,41,69,38,0,36,117,F,Minor,72,45,59,14,0,20,21,2022-12-02
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710,29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6,2022-12-02
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651,10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13,2022-12-01
Players,Coi Leray,1,2022,11,30,4096,6,335074782,118,48,143,0,240,105,F#,Major,95,62,52,3,0,5,16,2022-11-30
Normal,Feid,1,2022,7,8,2461,36,459276435,47,66,45,5,6,170,E,Minor,71,59,56,4,0,27,12,2022-07-08
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917,155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4,2022-06-29
CUFF IT,Beyonc�,1,2022,7,29,7842,10,595900742,215,88,330,26,23,115,G,Major,78,64,69,4,0,7,14,2022-07-29
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,2022-10-21
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5,2022-05-06
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3,2022-10-17
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24,2022-11-04
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117,41,22,56,4,84,93,F#,Minor,84,96,79,43,0,18,11,2022-12-16
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5,2022-06-10
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3,2022-04-08
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42,2022-04-22
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5,2022-04-21
Igualito a Mi Ap�,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978,8,84,5,1,4,145,E,Minor,76,80,81,19,0,6,9,2022-12-30
Komang,Raim Laode,1,2022,8,16,158,4,137123880,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3,2022-08-16
DESPECH�,ROSAL�,1,2022,7,28,7613,33,782369383,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10,2022-07-28
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7,2022-10-21
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295,17,80,22,9,38,173,,Major,59,69,53,12,0,23,3,2022-04-28
Punto G,Quevedo,1,2022,11,4,1985,35,381161027,34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15,2022-11-04
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403,3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5,2022-12-24
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240,53,120,62,0,2,110,,Major,82,67,69,0,0,18,4,2022-09-16
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16,2022-12-22
10:35,"Ti��sto, Tate M",2,2022,11,1,4942,26,325592432,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10,2022-11-01
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5,2022-05-20
Le�,Mar��lia Mendo,1,2022,12,9,993,4,267789608,30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3,2022-12-09
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773,67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3,2022-04-22
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509,19,29,21,0,0,140,,Major,64,18,37,72,0,12,7,2022-10-21
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3,2022-05-13
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549,28,57,43,8,85,92,F,Minor,76,46,79,31,0,7,6,2022-04-01
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700,23,2,21,0,0,110,G#,Minor,81,64,79,5,0,31,3,2022-10-26
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705,20,68,50,0,22,120,A#,Major,71,57,97,1,0,13,11,2022-01-21
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144,52,66,55,1,16,115,F,Minor,95,43,69,47,0,9,31,2022-11-13
Marisola - Remix,"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",5,2022,12,15,1845,16,223582566,20,8,30,2,0,95,C#,Major,77,72,87,17,0,7,5,2022-12-15
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,3301,30,471819764,72,64,64,6,3,102,B,Minor,83,58,83,21,0,10,5,2022-07-25
Low,SZA,1,2022,12,9,1911,0,272377463,23,71,14,0,9,145,,Minor,70,34,55,43,0,16,6,2022-12-09
One Thing At A Time,Morgan Wallen,1,2022,12,2,811,4,148469433,11,58,5,0,21,142,G,Major,61,92,91,0,0,26,3,2022-12-02
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,5730,10,497225336,108,16,197,3,165,145,F#,Minor,59,20,74,1,0,15,5,2022-08-05
LET GO,Central Cee,1,2022,12,15,2301,20,298063749,49,23,110,0,8,146,D,Minor,74,51,45,86,0,21,38,2022-12-15
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar",2,2022,11,5,86,0,139836056,11,101,0,0,48,94,A,Major,59,44,56,80,0,6,3,2022-11-05
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,629,14,303216294,32,3,9,0,0,94,G#,Major,73,65,79,5,2,11,6,2022-10-31
PLAYA DEL INGL�,"Myke Towers, Quevedo",2,2022,12,15,1701,15,221409663,30,15,34,2,47,113,G,Minor,79,66,74,8,0,11,5,2022-12-15
Kahani Suno 2.0,Kaifi Khalil,1,2022,5,31,162,6,156777415,1,10,1,0,1,140,B,Major,58,26,38,91,0,10,4,2022-05-31
Nobody Gets Me,SZA,1,2022,12,9,2536,6,284908316,59,100,58,13,2,100,G,Major,36,28,28,81,0,18,3,2022-12-09
Hype Boy,NewJeans,1,2022,8,1,892,17,363472647,20,119,12,2,7,100,E,Minor,59,78,94,27,0,29,23,2022-08-01
Monoton�,"Ozuna, Shakira",2,2022,10,19,3645,15,380726517,118,34,150,4,19,132,,Minor,87,82,70,42,0,21,5,2022-10-19
Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468,16,53,1,0,61,140,F#,Major,53,51,70,49,0,14,3,2022-05-06
Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498,20,1,71,2,0,135,F,Major,81,97,77,75,0,35,3,2022-12-08
Lovezinho,Treyce,1,2022,7,28,242,0,70069745,12,2,13,0,4,128,E,Minor,82,61,59,30,0,12,4,2022-07-28
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",2,2022,6,3,5281,14,609293408,94,21,80,15,38,101,F,Major,74,43,69,12,0,12,7,2022-06-03
Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962,20,64,35,6,0,122,A#,Major,88,43,50,7,0,14,5,2022-05-06
Vista Al Mar,Quevedo,1,2022,9,8,1769,34,362361576,16,19,21,3,4,105,,Minor,76,49,56,80,12,10,13,2022-09-08
Sem Alian��a no ,"MC Xenon, Os Gemeos da Putaria",2,2022,12,23,454,4,93587665,6,1,21,0,1,83,C#,Major,53,40,36,73,0,11,33,2022-12-23
Bombonzinho - Ao Vivo,"Israel & Rodolffo, Ana Castela",2,2022,11,3,1254,6,263453310,26,69,73,2,6,158,C#,Major,65,72,95,31,0,92,5,2022-11-03
Qu�� Ago,"Yuridia, Angela Aguilar",2,2022,10,20,660,15,236857112,19,59,18,5,52,98,B,Major,73,88,57,56,0,5,2,2022-10-20
About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473,0,0,25,0,0,109,A#,Minor,84,72,74,10,0,34,7,2022-07-15
Besos Moja2,"Wisin & Yandel, ROSAL�",2,2022,9,29,2460,13,309483971,53,7,56,3,1,94,F,Minor,74,64,73,6,0,10,6,2022-09-29
Maan Meri Jaan,King,1,2022,10,12,288,6,319566866,11,80,1,0,8,96,F#,Minor,70,40,51,35,0,10,4,2022-10-12
Moscow Mule,Bad Bunny,1,2022,5,6,4572,33,909001996,74,113,85,9,2,100,F,Minor,80,29,67,29,0,12,3,2022-05-06
ANTIFRAGILE,LE SSERAFIM,1,2022,10,17,761,12,301051721,23,95,11,0,3,105,A#,Minor,88,82,80,8,0,11,8,2022-10-17
Boy's a liar,PinkPantheress,1,2022,11,30,1225,0,156338624,27,0,28,13,0,133,F,Major,66,74,84,25,0,21,4,2022-11-30
Shirt,SZA,1,2022,10,28,3469,0,309653982,71,95,31,0,2,120,D#,Minor,82,55,45,15,3,9,10,2022-10-28
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,1,2022,10,28,3311,0,297328960,129,31,212,1,41,177,A,Major,25,17,30,90,0,13,3,2022-10-28
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,1,2022,9,22,2616,0,332506354,113,17,208,0,192,142,D,Minor,64,31,72,15,0,9,5,2022-09-22
Calm Down,R��,1,2022,2,9,4013,10,445763624,107,44,750,22,,107,B,Major,81,82,78,38,0,12,4,2022-02-09
Jhoome Jo Pathaan,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",6,2022,12,22,138,4,1365184,13,78,2,0,0,105,G,Major,82,62,74,10,0,33,7,2022-12-22
Escapism. - Sped Up,"RAYE, 070 Shake",2,2022,11,25,1368,0,184308753,12,1,11,0,8,108,F#,Minor,44,38,77,9,0,9,20,2022-11-25
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],"BTS, Jung Kook, FIFA Sound",3,2022,11,20,889,20,323358833,11,78,35,0,21,115,,Major,71,34,88,16,0,44,4,2022-11-20
Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,4796,9,606361689,124,66,212,13,1,174,F,Major,70,57,64,23,0,8,32,2022-04-21
TV,Billie Eilish,1,2022,7,21,3009,2,338564981,68,89,65,0,25,141,E,Minor,41,9,25,84,1,14,4,2022-07-21
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",6,2022,12,12,130,4,140187018,21,79,2,0,0,116,G#,Minor,77,65,80,6,0,15,4,2022-12-12
Pink Venom,BLACKPINK,1,2022,8,19,1963,16,551305895,57,119,77,1,13,90,,Major,80,71,69,2,0,27,10,2022-08-19
WAIT FOR U (feat. Drake & Tems),"Drake, Future, Tems",3,2022,4,27,5491,14,556585270,128,84,75,0,35,83,C#,Major,46,34,64,31,0,7,34,2022-04-27
Eu Gosto Assim - Ao Vivo,"Gustavo Mioto, Mari Fernandez",2,2022,9,16,1473,4,222612678,27,64,66,1,4,154,,Major,64,61,91,15,0,72,4,2022-09-16
PUNTO 40,"Baby Rasta, Rauw Alejandro",2,2022,9,22,3006,12,304079786,54,32,66,2,0,107,,Major,87,20,83,0,4,31,9,2022-09-22
Evoque Prata,"DJ Escobar, MC MENOR SG, MC MENOR HR",3,2022,9,9,852,0,174006928,14,1,50,0,0,87,G,Major,87,52,52,31,0,28,24,2022-09-09
How Do I Say Goodbye,Dean Lewis,1,2022,8,5,2163,15,284785823,72,97,58,0,154,82,G#,Major,40,39,64,21,0,7,7,2022-08-05
Blind,SZA,1,2022,12,9,1484,0,163284000,22,51,12,0,0,114,A,Minor,46,60,28,91,0,21,4,2022-12-09
Die For You,Joji,1,2022,11,4,1703,0,246390068,38,45,36,16,0,148,G#,Major,47,15,52,38,13,29,5,2022-11-04
Doja,Central Cee,1,2022,7,20,4169,44,482257456,57,44,183,1,11,140,F#,Major,91,97,57,38,0,40,29,2022-07-20
Gatita,Bellakath,1,2022,10,3,1054,0,168684524,9,0,15,0,1,101,G,Major,90,76,81,15,24,33,6,2022-10-03
Rumble,"Skrillex, Flowdan, Fred again..",3,2022,1,17,2849,0,78489819,39,45,27,0,1,140,C#,Minor,81,6,84,5,23,6,6,2022-01-17
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],"Travis Scott, 21 Savage, Metro Boomin",3,2022,12,2,1602,0,195516622,12,22,12,0,2,88,G,Minor,49,24,66,19,0,18,29,2022-12-02
Super Freaky Girl,Nicki Minaj,1,2022,8,12,4827,0,428685680,104,17,76,9,2,133,D,Major,95,91,89,6,0,31,24,2022-08-12
Limbo,Freddie Dredd,1,2022,8,11,688,0,199386237,14,1,17,0,2,75,B,Minor,80,46,62,3,6,11,46,2022-08-11
WORTH NOTHING,"Twisted, Oliver Tree",2,2022,9,28,1612,0,213438580,34,54,34,0,2,140,D,Minor,58,17,62,18,0,20,8,2022-09-28
KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833,38,101,26,0,0,102,C#,Major,58,29,94,0,0,9,11,2022-10-12
Evergreen (You Didn���t Deserve Me A,Omar Apollo,1,2022,4,8,2499,0,227918678,70,0,49,0,0,82,A,Major,70,31,34,60,1,11,4,2022-04-08
Shut up My Moms Calling - (Sped Up),Hotel Ugly,1,2022,9,14,713,7,181831132,2,4,6,0,0,85,F,Minor,65,36,47,31,0,12,10,2022-09-14
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,7758,28,462791599,173,79,175,0,168,125,C#,Minor,84,70,69,1,0,5,5,2022-03-14
"You're On Your Own, Kid",Taylor Swift,1,2022,10,21,2537,2,348647203,8,18,20,0,1,120,D,Major,69,40,39,41,0,13,6,2022-10-21
"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya",3,2022,7,17,292,6,366599607,26,98,4,0,0,94,,Major,58,44,57,57,0,10,3,2022-07-17
Seek & Destroy,SZA,1,2022,12,9,1007,0,98709329,5,31,1,0,0,152,C#,Major,65,35,65,44,18,21,7,2022-12-09
Love Language,SZA,1,2022,12,9,1127,0,110849052,16,63,8,0,0,65,A,Minor,71,55,26,85,0,13,8,2022-12-09
Used (feat. Don Toliver),"SZA, Don Toliver",2,2022,12,8,1042,0,94005786,7,29,3,0,0,150,A#,Minor,73,71,69,53,0,32,9,2022-12-08
Ghost in the Machine (feat. Phoebe Bridgers),"SZA, Phoebe Bridgers",2,2022,12,9,1634,0,110073250,16,20,4,0,0,125,F#,Major,62,59,43,84,3,11,5,2022-12-09
Special,SZA,1,2022,12,9,906,0,88092256,6,21,3,0,0,76,,Major,60,19,20,78,0,11,5,2022-12-09
SOS,SZA,1,2022,12,9,827,0,73981293,6,18,1,0,0,119,G,Minor,51,51,66,67,0,9,23,2022-12-09
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4,155653938,13,87,17,0,46,78,A,Major,67,22,59,76,1,15,16,2022-12-08
Gone Girl,SZA,1,2022,12,9,892,0,65362788,3,17,2,0,0,150,F,Major,43,42,44,57,0,15,6,2022-12-09
F2F,SZA,1,2022,12,9,989,0,67540165,5,9,1,0,0,90,D,Major,53,47,74,9,0,34,4,2022-12-09
Notice Me,SZA,1,2022,12,9,819,0,62019074,14,22,0,0,0,160,F,Major,72,78,68,28,0,11,12,2022-12-09
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2,136689549,10,6,7,1,9,100,B,Minor,70,92,59,3,0,10,3,2022-11-04
Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421,2,74,14,0,2,155,G#,Major,49,42,77,3,0,12,9,2022-12-02
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992,3,7,10,0,0,112,G#,Major,80,15,54,9,0,38,5,2022-12-02
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,573,0,301869854,1,0,18,0,24,166,C#,Major,70,57,57,9,20,11,7,2022-10-31
Smoking on my Ex Pack,SZA,1,2022,12,9,811,0,57144458,6,11,3,0,0,81,G#,Major,47,33,68,24,0,22,38,2022-12-09
Conceited,SZA,1,2022,12,9,899,0,56870689,2,14,2,0,0,150,C#,Major,79,77,46,5,0,11,7,2022-12-09
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0,323437194,33,57,30,0,11,110,A,Major,66,19,32,69,0,12,4,2022-10-21
Maroon,Taylor Swift,1,2022,10,21,2304,0,317726339,12,16,14,0,0,108,G,Major,64,4,40,6,0,10,6,2022-10-21
Tubar��o Te,"Dj LK da Esc��cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0,116144341,21,0,44,0,0,130,E,Minor,89,48,74,30,0,7,36,2022-09-28
Bejeweled,Taylor Swift,1,2022,10,21,2699,0,328207708,39,35,22,2,0,164,G,Major,70,39,56,6,0,9,7,2022-10-21
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20,608228647,27,77,22,2,0,114,B,Minor,80,42,68,2,0,66,4,2022-05-06
Too Late,SZA,1,2022,12,8,714,0,49262961,0,9,2,0,0,128,B,Major,45,35,68,78,0,39,8,2022-12-08
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,614555082,38,64,37,3,36,97,A,Major,83,47,80,2,0,24,9,2022-05-06
Far,SZA,1,2022,12,9,680,0,51641685,2,15,1,0,0,116,D,Major,61,48,55,67,0,16,8,2022-12-09
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,78139948,2,2,6,0,2,80,F,Minor,33,51,59,76,0,44,6,2022-12-02
GAT��,"Maldy, Karol G",2,2022,8,25,3328,13,322336177,39,50,57,3,1,93,B,Minor,63,34,86,26,0,21,39,2022-08-25
Sacrifice,The Weeknd,1,2022,1,7,4440,0,326792833,81,77,133,0,,122,G,Major,70,91,79,3,0,7,10,2022-01-07
Is There Someone Else?,The Weeknd,1,2022,1,7,2881,6,391251368,13,89,34,0,3,135,A,Minor,70,60,58,4,0,16,3,2022-01-07
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,0,349585590,65,7,70,16,6,109,F,Major,60,45,47,62,0,31,5,2022-01-05
Out of Time,The Weeknd,1,2022,1,7,3711,0,339659802,49,88,62,0,,93,,Minor,65,82,74,27,0,32,5,2022-01-07
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316,7,47,15,0,0,121,G,Minor,80,62,51,2,0,9,8,2022-01-07
Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579,11,29,14,0,0,123,F#,Minor,74,35,73,0,0,21,5,2022-01-07
Less Than Zero,The Weeknd,1,2022,1,7,2800,0,200660871,18,77,61,0,1,143,,Major,53,50,79,0,0,8,3,2022-01-07
"Here We Go��� Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,0,88103848,7,18,7,0,0,135,C#,Major,41,27,64,36,0,60,3,2022-01-07
Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984,3,18,14,0,0,87,E,Minor,49,49,59,44,0,35,21,2022-01-07
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026,9,10,9,0,0,110,D,Major,75,85,84,10,0,31,19,2022-01-07
Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526,1,8,6,0,0,78,A,Minor,27,10,49,62,0,49,5,2022-01-07
Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456,1,17,11,0,0,86,A,Minor,28,13,41,50,0,19,3,2022-01-07
Don���t Break My,The Weeknd,1,2022,1,7,1184,0,63803529,1,5,6,0,0,122,A#,Major,77,25,62,34,0,23,3,2022-01-07
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,236940480,32,0,12,0,0,170,F,Minor,70,61,44,40,0,37,4,2022-01-05
A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466,0,2,2,0,0,94,F,Minor,46,55,50,71,0,10,11,2022-01-07
Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,37307967,0,1,2,0,0,118,,Major,44,52,94,11,0,4,29,2022-01-07
L���,Stromae,1,2022,1,9,2035,0,108809090,41,122,394,0,2,88,D,Minor,56,58,55,35,0,23,11,2022-01-09
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,0,311395144,54,28,43,0,0,78,C#,Minor,77,49,42,1,1,13,19,2022-01-07
